SampleYear,Site,DepthZone,Species,SpeciesGroupF,Latitude,Longitude,Density_m2,,,
2016,Ridges South,Middle,Muricea californica,gorgonians,33.78523,-118.42513,0,,,
2016,Ridges South,Middle,Muricea fruticosa,gorgonians,33.78523,-118.42513,0,,,
2016,Ridges South,Outer,Eugorgia rubens,gorgonians,33.78652,-118.42635,0,,,
2016,Ridges South,Outer,Leptogorgia alba,gorgonians,33.78652,-118.42635,0,,,
2016,Ridges South,Outer,Leptogorgia chilensis,gorgonians,33.78652,-118.42635,0,,,
2016,Ridges South,Outer,Muricea californica,gorgonians,33.78652,-118.42635,0.35,,,
2016,Ridges South,Outer,Muricea fruticosa,gorgonians,33.78652,-118.42635,0.016666667,,,
2016,Ridges South,Deep,Eugorgia rubens,gorgonians,33.78701,-118.4301,0,,,
2016,Ridges South,Deep,Leptogorgia alba,gorgonians,33.78701,-118.4301,0,,,
2016,Ridges South,Deep,Leptogorgia chilensis,gorgonians,33.78701,-118.4301,0,,,
2016,Ridges South,Deep,Muricea californica,gorgonians,33.78701,-118.4301,0,,,
2016,Ridges South,Deep,Muricea fruticosa,gorgonians,33.78701,-118.4301,0,,,
2016,Rocky Point North,Inner,Eugorgia rubens,gorgonians,33.77958,-118.4278,0,,,
2016,Rocky Point North,Inner,Leptogorgia alba,gorgonians,33.77958,-118.4278,0,,,
2016,Rocky Point North,Inner,Leptogorgia chilensis,gorgonians,33.77958,-118.4278,0,,,
2016,Rocky Point North,Inner,Muricea californica,gorgonians,33.77958,-118.4278,0,,,
2016,Rocky Point North,Inner,Muricea fruticosa,gorgonians,33.77958,-118.4278,0,,,
2016,Rocky Point North,Middle,Eugorgia rubens,gorgonians,33.78014,-118.42891,0,,,
2016,Rocky Point North,Middle,Leptogorgia alba,gorgonians,33.78014,-118.42891,0,,,
2016,Rocky Point North,Middle,Leptogorgia chilensis,gorgonians,33.78014,-118.42891,0,,,
2016,Rocky Point North,Middle,Muricea californica,gorgonians,33.78014,-118.42891,0,,,
2016,Rocky Point North,Middle,Muricea fruticosa,gorgonians,33.78014,-118.42891,0,,,
2016,Rocky Point North,Outer,Eugorgia rubens,gorgonians,33.78084,-118.43033,0,,,
2016,Rocky Point North,Outer,Leptogorgia alba,gorgonians,33.78084,-118.43033,0,,,
2016,Rocky Point North,Outer,Leptogorgia chilensis,gorgonians,33.78084,-118.43033,0,,,
2016,Rocky Point North,Outer,Muricea californica,gorgonians,33.78084,-118.43033,0,,,
2016,Rocky Point North,Outer,Muricea fruticosa,gorgonians,33.78084,-118.43033,0,,,
2016,Rocky Point North,Deep,Eugorgia rubens,gorgonians,33.78149,-118.43324,0,,,
2016,Rocky Point North,Deep,Leptogorgia alba,gorgonians,33.78149,-118.43324,0,,,
2016,Rocky Point North,Deep,Leptogorgia chilensis,gorgonians,33.78149,-118.43324,0,,,
2016,Rocky Point North,Deep,Muricea californica,gorgonians,33.78149,-118.43324,0,,,
2016,Rocky Point North,Deep,Muricea fruticosa,gorgonians,33.78149,-118.43324,0,,,
2016,Rocky Point South,Inner,Eugorgia rubens,gorgonians,33.77511,-118.42804,0,,,
2016,Rocky Point South,Inner,Leptogorgia alba,gorgonians,33.77511,-118.42804,0,,,
2016,Rocky Point South,Inner,Leptogorgia chilensis,gorgonians,33.77511,-118.42804,0,,,
2016,Rocky Point South,Inner,Muricea californica,gorgonians,33.77511,-118.42804,0,,,
2016,Rocky Point South,Inner,Muricea fruticosa,gorgonians,33.77511,-118.42804,0,,,
2016,Rocky Point South,Middle,Eugorgia rubens,gorgonians,33.7767,-118.43029,0,,,
2016,Rocky Point South,Middle,Leptogorgia alba,gorgonians,33.7767,-118.43029,0,,,
2016,Rocky Point South,Middle,Leptogorgia chilensis,gorgonians,33.7767,-118.43029,0,,,
2016,Rocky Point South,Middle,Muricea californica,gorgonians,33.7767,-118.43029,0.008333333,,,
2016,Rocky Point South,Middle,Muricea fruticosa,gorgonians,33.7767,-118.43029,0,,,
2016,Rocky Point South,Outer,Eugorgia rubens,gorgonians,33.77644,-118.4328,0,,,
2016,Rocky Point South,Outer,Leptogorgia alba,gorgonians,33.77644,-118.4328,0,,,
2016,Rocky Point South,Outer,Leptogorgia chilensis,gorgonians,33.77644,-118.4328,0,,,
2016,Rocky Point South,Outer,Muricea californica,gorgonians,33.77644,-118.4328,0.008333333,,,
2016,Rocky Point South,Outer,Muricea fruticosa,gorgonians,33.77644,-118.4328,0,,,
2016,Rocky Point South,Deep,Eugorgia rubens,gorgonians,33.77727,-118.43464,0.008333333,,,
2016,Rocky Point South,Deep,Leptogorgia alba,gorgonians,33.77727,-118.43464,0,,,
2016,Rocky Point South,Deep,Leptogorgia chilensis,gorgonians,33.77727,-118.43464,0.016666667,,,
2016,Rocky Point South,Deep,Muricea californica,gorgonians,33.77727,-118.43464,0,,,
2016,Rocky Point South,Deep,Muricea fruticosa,gorgonians,33.77727,-118.43464,0,,,
2016,Lunada Bay,Inner,Eugorgia rubens,gorgonians,33.77152,-118.42761,0,,,
2016,Lunada Bay,Inner,Leptogorgia alba,gorgonians,33.77152,-118.42761,0,,,
2016,Lunada Bay,Inner,Leptogorgia chilensis,gorgonians,33.77152,-118.42761,0,,,
2016,Lunada Bay,Inner,Muricea californica,gorgonians,33.77152,-118.42761,0,,,
2016,Lunada Bay,Inner,Muricea fruticosa,gorgonians,33.77152,-118.42761,0,,,
2016,Lunada Bay,Middle,Eugorgia rubens,gorgonians,33.77181,-118.4311,0,,,
2016,Lunada Bay,Middle,Leptogorgia alba,gorgonians,33.77181,-118.4311,0,,,
2016,Lunada Bay,Middle,Leptogorgia chilensis,gorgonians,33.77181,-118.4311,0,,,
2016,Lunada Bay,Middle,Muricea californica,gorgonians,33.77181,-118.4311,0,,,
2016,Lunada Bay,Middle,Muricea fruticosa,gorgonians,33.77181,-118.4311,0,,,
2016,Lunada Bay,Outer,Eugorgia rubens,gorgonians,33.77089,-118.43263,0,,,
2016,Lunada Bay,Outer,Leptogorgia alba,gorgonians,33.77089,-118.43263,0,,,
2016,Lunada Bay,Outer,Leptogorgia chilensis,gorgonians,33.77089,-118.43263,0,,,
2016,Lunada Bay,Outer,Muricea californica,gorgonians,33.77089,-118.43263,0.008333333,,,
2016,Lunada Bay,Outer,Muricea fruticosa,gorgonians,33.77089,-118.43263,0,,,
2016,Lunada Bay,Deep,Eugorgia rubens,gorgonians,33.77149,-118.43487,0,,,
2016,Lunada Bay,Deep,Leptogorgia alba,gorgonians,33.77149,-118.43487,0,,,
2016,Lunada Bay,Deep,Leptogorgia chilensis,gorgonians,33.77149,-118.43487,0.008333333,,,
2016,Lunada Bay,Deep,Muricea californica,gorgonians,33.77149,-118.43487,0,,,
2016,Lunada Bay,Deep,Muricea fruticosa,gorgonians,33.77149,-118.43487,0,,,
2016,Resort Point,Inner,Eugorgia rubens,gorgonians,33.7667,-118.42607,0,,,
2016,Resort Point,Inner,Leptogorgia alba,gorgonians,33.7667,-118.42607,0,,,
2016,Resort Point,Inner,Leptogorgia chilensis,gorgonians,33.7667,-118.42607,0,,,
2016,Resort Point,Inner,Muricea californica,gorgonians,33.7667,-118.42607,0,,,
2016,Resort Point,Inner,Muricea fruticosa,gorgonians,33.7667,-118.42607,0,,,
2016,Resort Point,Middle,Eugorgia rubens,gorgonians,33.76669,-118.4271,0,,,
2016,Resort Point,Middle,Leptogorgia alba,gorgonians,33.76669,-118.4271,0,,,
2016,Resort Point,Middle,Leptogorgia chilensis,gorgonians,33.76669,-118.4271,0,,,
2016,Resort Point,Middle,Muricea californica,gorgonians,33.76669,-118.4271,0,,,
2016,Resort Point,Middle,Muricea fruticosa,gorgonians,33.76669,-118.4271,0,,,
2016,Resort Point,Outer,Eugorgia rubens,gorgonians,33.76667,-118.42843,0,,,
2016,Resort Point,Outer,Leptogorgia alba,gorgonians,33.76667,-118.42843,0,,,
2016,Resort Point,Outer,Leptogorgia chilensis,gorgonians,33.76667,-118.42843,0.016666667,,,
2016,Resort Point,Outer,Muricea californica,gorgonians,33.76667,-118.42843,0.075,,,
2016,Resort Point,Outer,Muricea fruticosa,gorgonians,33.76667,-118.42843,0.008333333,,,
2016,Resort Point,Deep,Eugorgia rubens,gorgonians,33.76599,-118.42944,0,,,
2016,Resort Point,Deep,Leptogorgia alba,gorgonians,33.76599,-118.42944,0,,,
2016,Resort Point,Deep,Leptogorgia chilensis,gorgonians,33.76599,-118.42944,0.008333333,,,
2016,Resort Point,Deep,Muricea californica,gorgonians,33.76599,-118.42944,0,,,
2016,Resort Point,Deep,Muricea fruticosa,gorgonians,33.76599,-118.42944,0,,,
2016,Honeymoon Cove,Inner,Eugorgia rubens,gorgonians,33.76486,-118.4234,0,,,
2016,Honeymoon Cove,Inner,Leptogorgia alba,gorgonians,33.76486,-118.4234,0,,,
2016,Honeymoon Cove,Inner,Leptogorgia chilensis,gorgonians,33.76486,-118.4234,0,,,
2016,Honeymoon Cove,Inner,Muricea californica,gorgonians,33.76486,-118.4234,0,,,
2016,Honeymoon Cove,Inner,Muricea fruticosa,gorgonians,33.76486,-118.4234,0,,,
2016,Honeymoon Cove,Middle,Eugorgia rubens,gorgonians,33.76423,-118.42428,0,,,
2016,Honeymoon Cove,Middle,Leptogorgia alba,gorgonians,33.76423,-118.42428,0,,,
2016,Honeymoon Cove,Middle,Leptogorgia chilensis,gorgonians,33.76423,-118.42428,0,,,
2016,Honeymoon Cove,Middle,Muricea californica,gorgonians,33.76423,-118.42428,0,,,
2016,Honeymoon Cove,Middle,Muricea fruticosa,gorgonians,33.76423,-118.42428,0,,,
2016,Honeymoon Cove,Outer,Eugorgia rubens,gorgonians,33.76394,-118.42582,0.008333333,,,
2016,Honeymoon Cove,Outer,Leptogorgia alba,gorgonians,33.76394,-118.42582,0,,,
2016,Honeymoon Cove,Outer,Leptogorgia chilensis,gorgonians,33.76394,-118.42582,0.004166667,,,
2016,Honeymoon Cove,Outer,Muricea californica,gorgonians,33.76394,-118.42582,0.120833333,,,
2016,Honeymoon Cove,Outer,Muricea fruticosa,gorgonians,33.76394,-118.42582,0.004166667,,,
2016,Honeymoon Cove,Deep,Eugorgia rubens,gorgonians,33.76396,-118.42692,0.008333333,,,
2016,Honeymoon Cove,Deep,Leptogorgia alba,gorgonians,33.76396,-118.42692,0,,,
2016,Honeymoon Cove,Deep,Leptogorgia chilensis,gorgonians,33.76396,-118.42692,0.045833333,,,
2016,Honeymoon Cove,Deep,Muricea californica,gorgonians,33.76396,-118.42692,0.0375,,,
2016,Honeymoon Cove,Deep,Muricea fruticosa,gorgonians,33.76396,-118.42692,0.025,,,
2016,Christmas Tree Cove,Inner,Eugorgia rubens,gorgonians,33.76144,-118.42004,0,,,
2016,Christmas Tree Cove,Inner,Leptogorgia alba,gorgonians,33.76144,-118.42004,0,,,
2016,Christmas Tree Cove,Inner,Leptogorgia chilensis,gorgonians,33.76144,-118.42004,0,,,
2016,Christmas Tree Cove,Inner,Muricea californica,gorgonians,33.76144,-118.42004,0,,,
2016,Christmas Tree Cove,Inner,Muricea fruticosa,gorgonians,33.76144,-118.42004,0,,,
2016,Christmas Tree Cove,Middle,Eugorgia rubens,gorgonians,33.76097,-118.4214,0,,,
2016,Christmas Tree Cove,Middle,Leptogorgia alba,gorgonians,33.76097,-118.4214,0,,,
2016,Christmas Tree Cove,Middle,Leptogorgia chilensis,gorgonians,33.76097,-118.4214,0,,,
2016,Christmas Tree Cove,Middle,Muricea californica,gorgonians,33.76097,-118.4214,0.016666667,,,
2016,Christmas Tree Cove,Middle,Muricea fruticosa,gorgonians,33.76097,-118.4214,0,,,
2016,Christmas Tree Cove,Outer,Eugorgia rubens,gorgonians,33.76063,-118.42215,0.05,,,
2016,Christmas Tree Cove,Outer,Leptogorgia alba,gorgonians,33.76063,-118.42215,0,,,
2016,Christmas Tree Cove,Outer,Leptogorgia chilensis,gorgonians,33.76063,-118.42215,0.008333333,,,
2016,Christmas Tree Cove,Outer,Muricea californica,gorgonians,33.76063,-118.42215,0.183333333,,,
2016,Christmas Tree Cove,Outer,Muricea fruticosa,gorgonians,33.76063,-118.42215,0.016666667,,,
2016,Marguerite West,Inner,Eugorgia rubens,gorgonians,33.75835,-118.41874,0,,,
2016,Marguerite West,Inner,Leptogorgia alba,gorgonians,33.75835,-118.41874,0,,,
2016,Marguerite West,Inner,Leptogorgia chilensis,gorgonians,33.75835,-118.41874,0,,,
2016,Marguerite West,Inner,Muricea californica,gorgonians,33.75835,-118.41874,0,,,
2016,Marguerite West,Inner,Muricea fruticosa,gorgonians,33.75835,-118.41874,0,,,
2016,Marguerite West,Middle,Eugorgia rubens,gorgonians,33.75814,-118.41848,0,,,
2016,Marguerite West,Middle,Leptogorgia alba,gorgonians,33.75814,-118.41848,0,,,
2016,Marguerite West,Middle,Leptogorgia chilensis,gorgonians,33.75814,-118.41848,0,,,
2016,Marguerite West,Middle,Muricea californica,gorgonians,33.75814,-118.41848,0.041666667,,,
2016,Marguerite West,Middle,Muricea fruticosa,gorgonians,33.75814,-118.41848,0,,,
2016,Marguerite West,Outer,Eugorgia rubens,gorgonians,33.75764,-118.41964,0,,,
2016,Marguerite West,Outer,Leptogorgia alba,gorgonians,33.75764,-118.41964,0,,,
2016,Marguerite West,Outer,Leptogorgia chilensis,gorgonians,33.75764,-118.41964,0,,,
2016,Marguerite West,Outer,Muricea californica,gorgonians,33.75764,-118.41964,0.091666667,,,
2016,Marguerite West,Outer,Muricea fruticosa,gorgonians,33.75764,-118.41964,0,,,
2016,Marguerite Central,Inner,Eugorgia rubens,gorgonians,33.75662,-118.41769,0,,,
2016,Marguerite Central,Inner,Leptogorgia alba,gorgonians,33.75662,-118.41769,0,,,
2016,Marguerite Central,Inner,Leptogorgia chilensis,gorgonians,33.75662,-118.41769,0,,,
2016,Marguerite Central,Inner,Muricea californica,gorgonians,33.75662,-118.41769,0,,,
2016,Marguerite Central,Inner,Muricea fruticosa,gorgonians,33.75662,-118.41769,0,,,
2016,Marguerite Central,Middle,Eugorgia rubens,gorgonians,33.75682,-118.41829,0,,,
2016,Marguerite Central,Middle,Leptogorgia alba,gorgonians,33.75682,-118.41829,0,,,
2016,Marguerite Central,Middle,Leptogorgia chilensis,gorgonians,33.75682,-118.41829,0,,,
2016,Marguerite Central,Middle,Muricea californica,gorgonians,33.75682,-118.41829,0.0625,,,
2016,Marguerite Central,Middle,Muricea fruticosa,gorgonians,33.75682,-118.41829,0,,,
2016,Marguerite East,Inner,Eugorgia rubens,gorgonians,33.75562,-118.41683,0,,,
2016,Marguerite East,Inner,Leptogorgia alba,gorgonians,33.75562,-118.41683,0,,,
2016,Marguerite East,Inner,Leptogorgia chilensis,gorgonians,33.75562,-118.41683,0,,,
2016,Marguerite East,Inner,Muricea californica,gorgonians,33.75562,-118.41683,0,,,
2016,Marguerite East,Inner,Muricea fruticosa,gorgonians,33.75562,-118.41683,0,,,
2016,Marguerite East,Middle,Eugorgia rubens,gorgonians,33.75549,-118.41733,0,,,
2016,Marguerite East,Middle,Leptogorgia alba,gorgonians,33.75549,-118.41733,0,,,
2016,Marguerite East,Middle,Leptogorgia chilensis,gorgonians,33.75549,-118.41733,0,,,
2016,Marguerite East,Middle,Muricea californica,gorgonians,33.75549,-118.41733,0.008333333,,,
2016,Marguerite East,Middle,Muricea fruticosa,gorgonians,33.75549,-118.41733,0,,,
2016,Golden Cove,Inner,Eugorgia rubens,gorgonians,33.75289,-118.41499,0,,,
2016,Golden Cove,Inner,Leptogorgia alba,gorgonians,33.75289,-118.41499,0,,,
2016,Golden Cove,Inner,Leptogorgia chilensis,gorgonians,33.75289,-118.41499,0,,,
2016,Golden Cove,Inner,Muricea californica,gorgonians,33.75289,-118.41499,0,,,
2016,Golden Cove,Inner,Muricea fruticosa,gorgonians,33.75289,-118.41499,0,,,
2016,Underwater Arch,Inner,Eugorgia rubens,gorgonians,33.75186,-118.41573,0,,,
2016,Underwater Arch,Inner,Leptogorgia alba,gorgonians,33.75186,-118.41573,0,,,
2016,Underwater Arch,Inner,Leptogorgia chilensis,gorgonians,33.75186,-118.41573,0,,,
2016,Underwater Arch,Inner,Muricea californica,gorgonians,33.75186,-118.41573,0,,,
2016,Underwater Arch,Inner,Muricea fruticosa,gorgonians,33.75186,-118.41573,0,,,
2016,Underwater Arch,Middle,Eugorgia rubens,gorgonians,33.75156,-118.41691,0,,,
2016,Underwater Arch,Middle,Leptogorgia alba,gorgonians,33.75156,-118.41691,0,,,
2016,Underwater Arch,Middle,Leptogorgia chilensis,gorgonians,33.75156,-118.41691,0,,,
2016,Underwater Arch,Middle,Muricea californica,gorgonians,33.75156,-118.41691,0,,,
2016,Underwater Arch,Middle,Muricea fruticosa,gorgonians,33.75156,-118.41691,0,,,
2016,Underwater Arch,Outer,Eugorgia rubens,gorgonians,33.75132,-118.41776,0,,,
2016,Underwater Arch,Outer,Leptogorgia alba,gorgonians,33.75132,-118.41776,0,,,
2016,Underwater Arch,Outer,Leptogorgia chilensis,gorgonians,33.75132,-118.41776,0,,,
2016,Underwater Arch,Outer,Muricea californica,gorgonians,33.75132,-118.41776,0.2,,,
2016,Underwater Arch,Outer,Muricea fruticosa,gorgonians,33.75132,-118.41776,0.016666667,,,
2016,Albondigas,Inner,Eugorgia rubens,gorgonians,33.75071,-118.41558,0,,,
2016,Albondigas,Inner,Leptogorgia alba,gorgonians,33.75071,-118.41558,0,,,
2016,Albondigas,Inner,Leptogorgia chilensis,gorgonians,33.75071,-118.41558,0,,,
2016,Albondigas,Inner,Muricea californica,gorgonians,33.75071,-118.41558,0,,,
2016,Albondigas,Inner,Muricea fruticosa,gorgonians,33.75071,-118.41558,0,,,
2016,Albondigas,Middle,Eugorgia rubens,gorgonians,33.75058,-118.41621,0,,,
2016,Albondigas,Middle,Leptogorgia alba,gorgonians,33.75058,-118.41621,0,,,
2016,Albondigas,Middle,Leptogorgia chilensis,gorgonians,33.75058,-118.41621,0,,,
2016,Albondigas,Middle,Muricea californica,gorgonians,33.75058,-118.41621,0,,,
2016,Albondigas,Middle,Muricea fruticosa,gorgonians,33.75058,-118.41621,0,,,
2016,Albondigas,Outer,Eugorgia rubens,gorgonians,33.74994,-118.41732,0,,,
2016,Albondigas,Outer,Leptogorgia alba,gorgonians,33.74994,-118.41732,0,,,
2016,Albondigas,Outer,Leptogorgia chilensis,gorgonians,33.74994,-118.41732,0,,,
2016,Albondigas,Outer,Muricea californica,gorgonians,33.74994,-118.41732,0.466666667,,,
2016,Albondigas,Outer,Muricea fruticosa,gorgonians,33.74994,-118.41732,0.008333333,,,
2016,Hawthorne Reef,Inner,Eugorgia rubens,gorgonians,33.74718,-118.4153,0,,,
2016,Hawthorne Reef,Inner,Leptogorgia alba,gorgonians,33.74718,-118.4153,0,,,
2016,Hawthorne Reef,Inner,Leptogorgia chilensis,gorgonians,33.74718,-118.4153,0,,,
2016,Hawthorne Reef,Inner,Muricea californica,gorgonians,33.74718,-118.4153,0,,,
2016,Hawthorne Reef,Inner,Muricea fruticosa,gorgonians,33.74718,-118.4153,0,,,
2016,Hawthorne Reef,Middle,Eugorgia rubens,gorgonians,33.74711,-118.41632,0,,,
2016,Hawthorne Reef,Middle,Leptogorgia alba,gorgonians,33.74711,-118.41632,0,,,
2016,Hawthorne Reef,Middle,Leptogorgia chilensis,gorgonians,33.74711,-118.41632,0,,,
2016,Hawthorne Reef,Middle,Muricea californica,gorgonians,33.74711,-118.41632,0.016666667,,,
2016,Hawthorne Reef,Middle,Muricea fruticosa,gorgonians,33.74711,-118.41632,0,,,
2016,Hawthorne Reef,Outer,Eugorgia rubens,gorgonians,33.74698,-118.41738,0,,,
2016,Hawthorne Reef,Outer,Leptogorgia alba,gorgonians,33.74698,-118.41738,0,,,
2016,Hawthorne Reef,Outer,Leptogorgia chilensis,gorgonians,33.74698,-118.41738,0,,,
2016,Hawthorne Reef,Outer,Muricea californica,gorgonians,33.74698,-118.41738,0.466666667,,,
2016,Hawthorne Reef,Outer,Muricea fruticosa,gorgonians,33.74698,-118.41738,0.025,,,
2016,Hawthorne Reef,Deep,Eugorgia rubens,gorgonians,33.74674,-118.41981,0,,,
2016,Hawthorne Reef,Deep,Leptogorgia alba,gorgonians,33.74674,-118.41981,0,,,
2016,Hawthorne Reef,Deep,Leptogorgia chilensis,gorgonians,33.74674,-118.41981,0.016666667,,,
2016,Hawthorne Reef,Deep,Muricea californica,gorgonians,33.74674,-118.41981,0.225,,,
2016,Hawthorne Reef,Deep,Muricea fruticosa,gorgonians,33.74674,-118.41981,0.325,,,
2016,Point Vicente West,Inner,Eugorgia rubens,gorgonians,33.74082,-118.41278,0,,,
2016,Point Vicente West,Inner,Leptogorgia alba,gorgonians,33.74082,-118.41278,0,,,
2016,Point Vicente West,Inner,Leptogorgia chilensis,gorgonians,33.74082,-118.41278,0,,,
2016,Point Vicente West,Inner,Muricea californica,gorgonians,33.74082,-118.41278,0,,,
2016,Point Vicente West,Inner,Muricea fruticosa,gorgonians,33.74082,-118.41278,0,,,
2016,Point Vicente West,Middle,Eugorgia rubens,gorgonians,33.74043,-118.41367,0,,,
2016,Point Vicente West,Middle,Leptogorgia alba,gorgonians,33.74043,-118.41367,0,,,
2016,Point Vicente West,Middle,Leptogorgia chilensis,gorgonians,33.74043,-118.41367,0,,,
2016,Point Vicente West,Middle,Muricea californica,gorgonians,33.74043,-118.41367,0.004166667,,,
2016,Point Vicente West,Middle,Muricea fruticosa,gorgonians,33.74043,-118.41367,0,,,
2016,Point Vicente West,Outer,Eugorgia rubens,gorgonians,33.7391,-118.41418,0,,,
2016,Point Vicente West,Outer,Leptogorgia alba,gorgonians,33.7391,-118.41418,0,,,
2016,Point Vicente West,Outer,Leptogorgia chilensis,gorgonians,33.7391,-118.41418,0.004166667,,,
2016,Point Vicente West,Outer,Muricea californica,gorgonians,33.7391,-118.41418,0.075,,,
2016,Point Vicente West,Outer,Muricea fruticosa,gorgonians,33.7391,-118.41418,0.008333333,,,
2016,Point Vicente West,Deep,Eugorgia rubens,gorgonians,33.73848,-118.4148,0,,,
2016,Point Vicente West,Deep,Leptogorgia alba,gorgonians,33.73848,-118.4148,0,,,
2016,Point Vicente West,Deep,Leptogorgia chilensis,gorgonians,33.73848,-118.4148,0.208333333,,,
2016,Point Vicente West,Deep,Muricea californica,gorgonians,33.73848,-118.4148,0.145833333,,,
2016,Point Vicente West,Deep,Muricea fruticosa,gorgonians,33.73848,-118.4148,0,,,
2016,Long Point West,Inner,Eugorgia rubens,gorgonians,33.73809,-118.40329,0,,,
2016,Long Point West,Inner,Leptogorgia alba,gorgonians,33.73809,-118.40329,0,,,
2016,Long Point West,Inner,Leptogorgia chilensis,gorgonians,33.73809,-118.40329,0,,,
2016,Long Point West,Inner,Muricea californica,gorgonians,33.73809,-118.40329,0,,,
