SampleYear,Site,DepthZone,Species,SpeciesGroupF,Latitude,Longitude,Density_m2
2016,SCAI - Bird Rock,Deep,Alaria marginata,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Desmarestia ligulata,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Desmarestia ligulata var. firma,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Egregia menziesii,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Eisenia arborea,kelp - understory,33.45261,-118.48736,0.066666667
2016,SCAI - Bird Rock,Deep,Eugorgia rubens,gorgonians,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Laminaria farlowii,kelp - understory,33.45261,-118.48736,0.208333333
2016,SCAI - Bird Rock,Deep,Leptogorgia alba,gorgonians,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Leptogorgia chilensis,gorgonians,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Muricea californica,gorgonians,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Muricea fruticosa,gorgonians,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Pterygophora californica,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Saccharina latissima,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Bird Rock,Deep,Stephanocystis spp.,kelp - understory,33.45261,-118.48736,0.033333333
2016,SCAI - Bird Rock,Deep,Undaria pinnatifida,kelp - understory,33.45261,-118.48736,0
2016,SCAI - Blue Cavern,Inner,Agarum fimbriatum,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Alaria marginata,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Desmarestia ligulata,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Desmarestia ligulata var. firma,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Egregia menziesii,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Eisenia arborea,kelp - understory,33.44799,-118.47928,0.008333333
2016,SCAI - Blue Cavern,Inner,Eugorgia rubens,gorgonians,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Laminaria farlowii,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Leptogorgia alba,gorgonians,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Leptogorgia chilensis,gorgonians,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Muricea californica,gorgonians,33.44799,-118.47928,0.008333333
2016,SCAI - Blue Cavern,Inner,Muricea fruticosa,gorgonians,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Pterygophora californica,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Saccharina latissima,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Stephanocystis spp.,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Inner,Undaria pinnatifida,kelp - understory,33.44799,-118.47928,0
2016,SCAI - Blue Cavern,Middle,Agarum fimbriatum,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Alaria marginata,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Desmarestia ligulata,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Desmarestia ligulata var. firma,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Egregia menziesii,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Eisenia arborea,kelp - understory,33.44803,-118.47929,0.125
2016,SCAI - Blue Cavern,Middle,Eugorgia rubens,gorgonians,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Laminaria farlowii,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Leptogorgia alba,gorgonians,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Leptogorgia chilensis,gorgonians,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Muricea californica,gorgonians,33.44803,-118.47929,0.008333333
2016,SCAI - Blue Cavern,Middle,Muricea fruticosa,gorgonians,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Pterygophora californica,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Saccharina latissima,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Stephanocystis spp.,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Middle,Undaria pinnatifida,kelp - understory,33.44803,-118.47929,0
2016,SCAI - Blue Cavern,Outer,Agarum fimbriatum,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Alaria marginata,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Desmarestia ligulata,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Desmarestia ligulata var. firma,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Egregia menziesii,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Eisenia arborea,kelp - understory,33.44807,-118.47935,0.225
2016,SCAI - Blue Cavern,Outer,Eugorgia rubens,gorgonians,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Laminaria farlowii,kelp - understory,33.44807,-118.47935,0.058333333
2016,SCAI - Blue Cavern,Outer,Leptogorgia alba,gorgonians,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Leptogorgia chilensis,gorgonians,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Muricea californica,gorgonians,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Muricea fruticosa,gorgonians,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Pterygophora californica,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Saccharina latissima,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Stephanocystis spp.,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Blue Cavern,Outer,Undaria pinnatifida,kelp - understory,33.44807,-118.47935,0
2016,SCAI - Ripper's Cove,Inner,Agarum fimbriatum,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Alaria marginata,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Desmarestia ligulata,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Desmarestia ligulata var. firma,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Egregia menziesii,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Eisenia arborea,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Eugorgia rubens,gorgonians,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Laminaria farlowii,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Leptogorgia alba,gorgonians,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Leptogorgia chilensis,gorgonians,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Muricea californica,gorgonians,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Muricea fruticosa,gorgonians,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Pterygophora californica,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Saccharina latissima,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Stephanocystis spp.,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Inner,Undaria pinnatifida,kelp - understory,33.42827,-118.43574,0
2016,SCAI - Ripper's Cove,Middle,Agarum fimbriatum,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Alaria marginata,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Desmarestia ligulata,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Desmarestia ligulata var. firma,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Egregia menziesii,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Eisenia arborea,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Eugorgia rubens,gorgonians,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Laminaria farlowii,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Leptogorgia alba,gorgonians,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Leptogorgia chilensis,gorgonians,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Muricea californica,gorgonians,33.42847,-118.43561,0.016666667
2016,SCAI - Ripper's Cove,Middle,Muricea fruticosa,gorgonians,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Pterygophora californica,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Saccharina latissima,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Stephanocystis spp.,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Ripper's Cove,Middle,Undaria pinnatifida,kelp - understory,33.42847,-118.43561,0
2016,SCAI - Italian Gardens,Inner,Agarum fimbriatum,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Alaria marginata,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Desmarestia ligulata,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Desmarestia ligulata var. firma,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Egregia menziesii,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Eisenia arborea,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Eugorgia rubens,gorgonians,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Laminaria farlowii,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Leptogorgia alba,gorgonians,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Leptogorgia chilensis,gorgonians,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Muricea californica,gorgonians,33.41023,-118.37777,0.008333333
2016,SCAI - Italian Gardens,Inner,Muricea fruticosa,gorgonians,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Pterygophora californica,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Saccharina latissima,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Stephanocystis spp.,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Inner,Undaria pinnatifida,kelp - understory,33.41023,-118.37777,0
2016,SCAI - Italian Gardens,Middle,Agarum fimbriatum,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Alaria marginata,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Desmarestia ligulata,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Desmarestia ligulata var. firma,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Egregia menziesii,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Eisenia arborea,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Eugorgia rubens,gorgonians,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Laminaria farlowii,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Leptogorgia alba,gorgonians,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Leptogorgia chilensis,gorgonians,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Muricea californica,gorgonians,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Muricea fruticosa,gorgonians,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Pterygophora californica,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Saccharina latissima,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Stephanocystis spp.,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Middle,Undaria pinnatifida,kelp - understory,33.41039,-118.37778,0
2016,SCAI - Italian Gardens,Outer,Agarum fimbriatum,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Alaria marginata,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Desmarestia ligulata,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Desmarestia ligulata var. firma,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Egregia menziesii,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Eisenia arborea,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Eugorgia rubens,gorgonians,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Laminaria farlowii,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Leptogorgia alba,gorgonians,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Leptogorgia chilensis,gorgonians,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Muricea californica,gorgonians,33.41051,-118.3778,0.008333333
2016,SCAI - Italian Gardens,Outer,Muricea fruticosa,gorgonians,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Pterygophora californica,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Saccharina latissima,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Stephanocystis spp.,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Italian Gardens,Outer,Undaria pinnatifida,kelp - understory,33.41051,-118.3778,0
2016,SCAI - Hen Rock,Inner,Agarum fimbriatum,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Alaria marginata,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Desmarestia ligulata,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Desmarestia ligulata var. firma,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Egregia menziesii,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Eisenia arborea,kelp - understory,33.39959,-118.36712,0.033333333
2016,SCAI - Hen Rock,Inner,Eugorgia rubens,gorgonians,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Laminaria farlowii,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Leptogorgia alba,gorgonians,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Leptogorgia chilensis,gorgonians,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Muricea californica,gorgonians,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Muricea fruticosa,gorgonians,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Pterygophora californica,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Saccharina latissima,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Stephanocystis spp.,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Inner,Undaria pinnatifida,kelp - understory,33.39959,-118.36712,0
2016,SCAI - Hen Rock,Middle,Agarum fimbriatum,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Alaria marginata,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Desmarestia ligulata,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Desmarestia ligulata var. firma,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Egregia menziesii,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Eisenia arborea,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Eugorgia rubens,gorgonians,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Laminaria farlowii,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Leptogorgia alba,gorgonians,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Leptogorgia chilensis,gorgonians,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Muricea californica,gorgonians,33.39954,-118.36645,0.133333333
2016,SCAI - Hen Rock,Middle,Muricea fruticosa,gorgonians,33.39954,-118.36645,0.008333333
2016,SCAI - Hen Rock,Middle,Pterygophora californica,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Saccharina latissima,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Stephanocystis spp.,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Middle,Undaria pinnatifida,kelp - understory,33.39954,-118.36645,0
2016,SCAI - Hen Rock,Outer,Agarum fimbriatum,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Alaria marginata,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Desmarestia ligulata,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Desmarestia ligulata var. firma,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Egregia menziesii,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Eisenia arborea,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Eugorgia rubens,gorgonians,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Laminaria farlowii,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Leptogorgia alba,gorgonians,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Leptogorgia chilensis,gorgonians,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Muricea californica,gorgonians,33.39942,-118.36597,0.291666667
2016,SCAI - Hen Rock,Outer,Muricea fruticosa,gorgonians,33.39942,-118.36597,0.033333333
2016,SCAI - Hen Rock,Outer,Pterygophora californica,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Saccharina latissima,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Stephanocystis spp.,kelp - understory,33.39942,-118.36597,0
2016,SCAI - Hen Rock,Outer,Undaria pinnatifida,kelp - understory,33.39942,-118.36597,0
2016,Flat Rock North,Inner,Agarum fimbriatum,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Alaria marginata,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Desmarestia ligulata,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Desmarestia ligulata var. firma,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Egregia menziesii,kelp - understory,33.80023,-118.40684,0.008333333
2016,Flat Rock North,Inner,Eisenia arborea,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Eugorgia rubens,gorgonians,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Laminaria farlowii,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Leptogorgia alba,gorgonians,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Leptogorgia chilensis,gorgonians,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Muricea californica,gorgonians,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Muricea fruticosa,gorgonians,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Pterygophora californica,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Saccharina latissima,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Inner,Stephanocystis spp.,kelp - understory,33.80023,-118.40684,0.508333333
2016,Flat Rock North,Inner,Undaria pinnatifida,kelp - understory,33.80023,-118.40684,0
2016,Flat Rock North,Middle,Agarum fimbriatum,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Alaria marginata,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Desmarestia ligulata,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Desmarestia ligulata var. firma,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Egregia menziesii,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Eisenia arborea,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Eugorgia rubens,gorgonians,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Laminaria farlowii,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Leptogorgia alba,gorgonians,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Leptogorgia chilensis,gorgonians,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Muricea californica,gorgonians,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Muricea fruticosa,gorgonians,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Pterygophora californica,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Saccharina latissima,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock North,Middle,Stephanocystis spp.,kelp - understory,33.80118,-118.40722,0.033333333
2016,Flat Rock North,Middle,Undaria pinnatifida,kelp - understory,33.80118,-118.40722,0
2016,Flat Rock South,Inner,Agarum fimbriatum,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Alaria marginata,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Desmarestia ligulata,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Desmarestia ligulata var. firma,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Egregia menziesii,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Eisenia arborea,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Eugorgia rubens,gorgonians,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Laminaria farlowii,kelp - understory,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Leptogorgia alba,gorgonians,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Leptogorgia chilensis,gorgonians,33.79615,-118.41076,0
2016,Flat Rock South,Inner,Muricea californica,gorgonians,33.79615,-118.41076,0
